Year,OperatingSystem,Share
2009,iOS,59.35
2009,Android,5.58
2009,BlackBerry OS,14.42
2009,Windows,2.91
2009,SymbianOS,2.5
2009,Playstation,4.66
2009,Other,4.06
2009,Unknown,6.54
2010,iOS,40.77
2010,Android,16.97
2010,BlackBerry OS,30.08
2010,Windows,0.42
2010,SymbianOS,1.19
2010,Playstation,1.32
2010,Other,4.55
2010,Unknown,4.7
2011,iOS,38.28
2011,Android,35.08
2011,BlackBerry OS,16.78
2011,Windows,0.77
2011,SymbianOS,3.56
2011,Playstation,0.59
2011,Other,2.44
2011,Unknown,2.51
2012,iOS,49.35
2012,Android,40.66
2012,BlackBerry OS,3.59
2012,Windows,1.11
2012,SymbianOS,0.77
2012,Playstation,0.37
2012,Other,2.96
2012,Unknown,1.18
2013,iOS,52.86
2013,Android,39.26
2013,BlackBerry OS,3.3
2013,Windows,1.43
2013,SymbianOS,0.33
2013,Playstation,0.14
2013,Other,2.11
2013,Unknown,0.59
2014,iOS,52.28
2014,Android,42.43
2014,BlackBerry OS,1.67
2014,Windows,1.68
2014,SymbianOS,0.17
2014,Playstation,0.11
2014,Other,1.3
2014,Unknown,0.37
2015,iOS,50.79
2015,Android,46.5
2015,BlackBerry OS,0.47
2015,Windows,1.65
2015,SymbianOS,0.03
2015,Playstation,0.08
2015,Other,0.33
2015,Unknown,0.17
2016,iOS,53.18
2016,Android,45.2
2016,BlackBerry OS,0.19
2016,Windows,0.91
2016,SymbianOS,0.01
2016,Playstation,0.05
2016,Other,0.25
2016,Unknown,0.21
